Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
District,Party,"Member of Congress","2019 Score","Lifetime Score","Stopping Border Wall Funding (9)","Public Lands Package (95)","Protecting Our Democracy (118)","For the People Act (118)","Recognizing the Need for Climate Justice (175)","Addressing Climate Change’s Damages (181)","Climate Action Now Act (184)","Keeping America’s Commitment to the Paris Climate Agreement (184)","Protecting Dreamers and Immigrants Fleeing Disasters (240)","Halting Withdrawal from the Paris Climate Agreement (336)","Ignoring the Costs of Climate Change (362)","Blocking the Use of the Social Cost of Carbon in Agency Rules (362)","Halting Permitting of Pebble Mine in Alaska (363)","Blocking the Disastrous Pebble Mine (363)","Boosting Clean Energy and Climate Funding (367)","FY20 Energy, Water, and other Departments Funding Bill (367)","Blocking Protections for Endangered Whales (372)","Halting Oil and Gas Drilling off Florida’s Coasts (378)","Banning Oil and Gas Drilling off the Atlantic Coast (379)","Blocking Import Permits for Sport-Hunted Elephant and Lion Parts (380)","Stopping Carbon Pollution Limits for Power Plants (381)","Stopping the Clean Power Plan and Carbon Pollution Limits for New Power Plants (381)","Blocking Taxpayer-Subsidized Roadbuilding for Industrial Logging in the Tongass National Forest (382)","Blocking Logging in the Tongass National Forest (382)","Blocking EPA from Carrying Out Endangerment Finding for CO2 (383)","Blocking the EPA from Reducing Carbon Pollution (383)","Halting Oil Drilling in the Arctic Refuge (384)","Blocking EPA Enforcement of Methane Rules (385)","Methane Pollution Safeguards (385)","Eliminating EPA’s Chemical Hazard Assessment Program, IRIS (390)","Eliminating EPA's Chemical Hazard Assessment Program, IRIS (390)","Stopping Oil and Gas Exploration off the Atlantic Coast (391)","Banning Oil and Gas Exploration off the Pacific Coast (393)","Preserving the Mercury & Air Toxics Standards (395)","Halting the Trump Administration from Undermining the Mercury and Air Toxics Standards (395)","Pro-Environment Funding Bill (408)","FY20 Interior, Environment and related Agencies Funding Bill (408)","Ending Harmful Limits on Government Funding (511)","Permanently Extending the Moratorium on Drilling in the Eastern Gulf of Mexico (521)","Stopping Future Drilling in the Eastern Gulf of Mexico (521)","Banning Offshore Drilling in the Atlantic and Pacific Oceans (525)","Restoring Protections for the Arctic Refuge (530)","Protecting Chaco Canyon from Oil and Gas Development   (597)","Protecting Chaco Canyon from Oil and Gas Development (597)","Protecting the Grand Canyon from Toxic Uranium Mining (602)","Protecting Colorado's Public Lands (609)","Shark Finning Ban (634)","Protecting the Right to Vote (654)","Attack on Marine Mammal Protections from Harmful Air Gun Blasting (666)","USMCA Trade Deal (701)"
CA-34,D,"Gomez, Jimmy",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-35,D,"Torres, Norma",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-36,D,"Ruiz, Raul",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-37,D,"Bass, Karen",93,88,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,?,+,-
CA-38,D,"Sanchez, Linda",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-39,D,"Cisneros, Gilbert",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-40,D,"Roybal-Allard, Lucille",97,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-41,D,"Takano, Mark",97,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,-,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-42,R,"Calvert, Ken",14,7,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,+,-,-,+,-,-,-
CA-43,D,"Waters, Maxine",97,91,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-44,D,"Barragán, Nanette",100,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
CA-45,D,"Porter, Katie",90,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,?,?,+,-
CA-46,D,"Correa, J.",93,92,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-47,D,"Lowenthal, Alan",100,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
CA-48,D,"Rouda, Harley",86,86,,+,+,+,?,?,,?,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-49,D,"Levin, Mike",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-50,R,"Hunter, Duncan",7,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,?,?,?
CA-51,D,"Vargas, Juan",96,96,,+,+,+,,,,,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CA-52,D,"Peters, Scott",97,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
CA-53,D,"Davis, Susan",93,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,?,+,+,+,-
NY-01,R,"Zeldin, Lee",28,13,,+,-,-,-,+,,-,-,-,-,,,-,-,,-,+,+,-,-,,,+,,+,-,,-,,+,+,+,+,,-,,-,,-,,,,-,-,-,+,-,-,-
NY-02,R,"King, Peter",41,18,,+,-,-,+,+,,-,-,-,-,,,-,-,,+,+,+,+,-,,,-,,+,-,,-,,+,+,+,+,,-,,+,,+,,,,+,-,-,+,-,+,-
NY-03,D,"Suozzi, Thomas",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NY-04,D,"Rice, Kathleen",93,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
NY-05,D,"Meeks, Gregory",93,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,?,,+,,+,,,,+,+,+,+,+,+,-
NY-06,D,"Meng, Grace",100,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-07,D,"Velazquez, Nydia",100,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-08,D,"Jeffries, Hakeem",97,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,-,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NY-09,D,"Clarke, Yvette",100,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-10,D,"Nadler, Jerrold",100,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,
NY-11,D,"Rose, Max",93,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NY-12,D,"Maloney, Carolyn",100,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-13,D,"Espaillat, Adriano",100,99,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-14,D,"Ocasio-Cortez, Alexandria",97,97,,+,+,+,+,+,,+,+,+,+,,,+,-,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-15,D,"Serrano, Jose",100,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,,,,
NY-16,D,"Engel, Eliot",100,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-17,D,"Lowey, Nita",93,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,?,+,+,+,-
NY-18,D,"Maloney, Sean",97,89,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NY-19,D,"Delgado, Antonio",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NY-20,D,"Tonko, Paul",100,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NY-21,R,"Stefanik, Elise",55,37,,+,-,-,-,+,,+,-,+,-,,,-,-,,-,+,+,-,+,,,-,,+,+,,+,,+,+,+,+,,-,,+,,+,,,,+,+,-,+,-,+,-
NY-22,D,"Brindisi, Anthony",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
NY-23,R,"Reed, Tom",31,10,,+,-,-,-,+,,-,-,-,+,,,-,-,,+,-,-,-,-,,,+,,+,-,,-,,+,-,-,-,,-,,-,,-,,,,+,-,-,+,-,-,-
NY-24,R,"Katko, John",48,31,,?,-,-,+,+,,-,-,-,-,,,-,-,,+,+,+,-,+,,,-,,+,-,,+,,+,+,+,+,,-,,+,,+,,,,+,+,-,+,-,+,-
NY-25,D,"Morelle, Joe",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NY-26,D,"Higgins, Brian",97,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NY-27,R,"Collins, Chris",9,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,,,,,,,
FL-01,R,"Gaetz, Matt",24,12,,+,-,-,-,-,,-,-,?,+,,,-,-,,-,+,+,+,-,,,-,,+,-,,-,,-,+,+,-,,-,,-,,+,,,,-,-,-,+,-,+,-
FL-02,R,"Dunn, Neal",10,4,,+,?,?,-,-,,-,-,-,-,,,+,-,,-,+,+,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,+,,,,-,-,-,-,-,-,-
FL-03,R,"Yoho, Ted",7,3,,-,-,-,-,-,,-,-,?,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,+
FL-04,R,"Rutherford, John",17,8,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,+,+,-,-,,,-,,-,-,,-,,-,+,+,-,,-,,+,,+,,,,-,-,-,-,-,+,-
FL-05,D,"Lawson, Al",97,84,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-06,R,"Waltz, Michael",34,34,,+,-,-,+,+,,-,-,?,-,,,-,-,,+,+,+,-,-,,,-,,-,+,,+,,+,+,-,-,,-,,-,,+,,,,-,-,-,-,-,+,-
FL-07,D,"Murphy, Stephanie",97,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
FL-08,R,"Posey, Bill",14,5,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,+,+,-,-,,,-,,-,-,,-,,-,+,-,-,,-,,-,,+,,,,-,-,-,-,-,+,-
FL-09,D,"Soto, Darren",97,99,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-10,D,"Demings, Val",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-11,R,"Webster, Daniel",14,6,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,+,+,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,+,,,,-,-,-,+,-,-,-
FL-12,R,"Bilirakis, Gus",21,9,,+,-,-,?,-,,-,-,-,-,,,-,-,,+,+,+,-,-,,,-,,-,-,,-,,-,+,-,+,,-,,+,,+,,,,-,-,-,+,-,+,-
FL-13,D,"Crist, Charlie",97,91,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-14,D,"Castor, Kathy",97,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-15,R,"Spano, Ross",10,10,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,+,+,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,+,,,,-,-,-,-,-,-,-
FL-16,R,"Buchanan, Vern",31,22,,+,-,-,-,+,,+,-,+,-,,,-,-,,+,+,+,+,-,,,-,,-,-,,-,,-,+,-,+,,-,,-,,+,,,,-,-,-,+,-,+,-
FL-17,R,"Steube, Greg",7,7,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,+,+,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,+,,,,-,-,-,+,-,-,-
FL-18,R,"Mast, Brian",38,29,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,+,+,-,-,,,-,,+,-,,+,,+,+,-,+,,-,,-,,+,,,,+,-,-,+,-,+,-
FL-19,R,"Rooney, Francis",59,24,,+,-,-,?,?,,?,-,+,+,,,+,-,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,?,,-,,+,,,,?,+,+,+,-,?,-
FL-20,D,"Hastings, Alcee",93,84,,+,+,+,,,,,,?,,,,,,,,?,?,?,,,,,,,,,,,,?,?,,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-21,D,"Frankel, Lois",96,98,,?,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-22,D,"Deutch, Ted",97,91,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-23,D,"Wasserman Schultz, Debbie",93,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,?,-
FL-24,D,"Wilson, Frederica",93,91,,+,+,+,+,+,,+,?,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-25,R,"Diaz-Balart, Mario",28,13,,+,-,-,-,-,,-,+,+,-,,,-,-,,+,+,+,-,-,,,-,,-,-,,-,,+,-,-,+,,-,,+,,+,,,,-,-,-,+,-,+,-
FL-26,D,"Mucarsel-Powell, Debbie",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
FL-27,D,"Shalala, Donna",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
AL-01,R,"Byrne, Bradley",3,0,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,?,-,-
