Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
District,Party,"Member of Congress",BioID,GovtrackID,"2020 Score","Lifetime Score","Closing the PFAS Clean Water Loophole (11)","Protecting People from PFAS Pollution (13)","Great Lakes Restoration Initiative (36)","Protecting the Rights of Workers to Organize (50)","Emergency and Climate Disaster Aid for Puerto Rico (54)","Protecting Wilderness Across the West  (69)","Heroes Act COVID-19 Relief Package (109)","Washington D.C. Statehood (122)","Harming Workers by Rolling Back Wage Protections (135)","Eliminating Lead Service Lines to Protect Public Health (136)","Investing in Climate-Ambitious Infrastructure (138)","Maintaining Suspension of Nuclear Weapons Testing (142)","Protecting the Grand Canyon and Colorado’s public lands (147)","Great American Outdoors Act (155)","Removing Confederate Statues from the U.S. Capitol (156)","Blocking Trump’s Inadequate Soot Standard (163)","Slashing EPA Funding (164)","Pro-Environment Funding Package  (166)","Protecting the U.S. Postal Service (182)","Increasing Funding for Renewable Energy Research & Development (203)","Phasing Out Harmful Fishing Gear (242)"
CA-11,D,"DeSaulnier, Mark",D000623,412613,100,99,+,+,+,+,+,+,n/a,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-12,D,"Pelosi, Nancy",P000197,400314,100,94,n/a,n/a,n/a,+,n/a,n/a,+,+,n/a,n/a,+,n/a,n/a,n/a,+,n/a,n/a,n/a,+,n/a,n/a
CA-13,D,"Lee, Barbara",L000551,400237,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-14,D,"Speier, Jackie",S001175,412259,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-15,D,"Swalwell, Eric",S001193,412514,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-16,D,"Costa, Jim",C001059,400618,100,54,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-17,D,"Khanna, Ro",K000389,412684,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-18,D,"Eshoo, Anna",E000215,400124,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-19,D,"Lofgren, Zoe",L000397,400245,90,91,+,+,+,+,?,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-20,D,"Panetta, Jimmy",P000613,412685,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-21,D,"Cox, TJ",C001124,412755,90,94,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+
CA-22,R,"Nunes, Devin",N000181,400297,10,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-
CA-23,R,"McCarthy, Kevin",M001165,412190,14,3,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-
CA-24,D,"Carbajal, Salud",C001112,412686,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-25,R,"Garcia, Mike",G000061,456792,21,21,,,,,,,,-,-,-,-,-,-,+,+,-,-,-,-,-,+
CA-26,D,"Brownley, Julia",B001285,412516,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-27,D,"Chu, Judy",C001080,412379,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-28,D,"Schiff, Adam",S001150,400361,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-29,D,"Cárdenas, Tony",C001097,412517,100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-30,D,"Sherman, Brad",S000344,400371,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-31,D,"Aguilar, Pete",A000371,412615,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-32,D,"Napolitano, Grace",N000179,400290,95,91,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-33,D,"Lieu, Ted",L000582,412616,95,91,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-34,D,"Gomez, Jimmy",G000585,412739,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-35,D,"Torres, Norma",T000474,412617,95,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+
CA-36,D,"Ruiz, Raul",R000599,412519,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-37,D,"Bass, Karen",B001270,412404,100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-38,D,"Sanchez, Linda",S001156,400355,95,94,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-39,D,"Cisneros, Gilbert",C001123,412757,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-40,D,"Roybal-Allard, Lucille",R000486,400347,100,96,+,+,+,+,+,+,n/a,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-41,D,"Takano, Mark",T000472,412520,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-42,R,"Calvert, Ken",C000059,400057,14,7,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,?
CA-43,D,"Waters, Maxine",W000187,400422,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-44,D,"Barragán, Nanette",B001300,412687,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-45,D,"Porter, Katie",P000618,412758,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-46,D,"Correa, J.",C001110,412688,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-47,D,"Lowenthal, Alan",L000579,412521,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-48,D,"Rouda, Harley",R000616,412759,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-49,D,"Levin, Mike",L000593,412760,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-50,R,"Hunter, Duncan",H001048,412283,0,2,?,?,,,,,,,,,,,,,,,,,,,
CA-51,D,"Vargas, Juan",V000130,412522,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-52,D,"Peters, Scott",P000608,412523,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CA-53,D,"Davis, Susan",D000598,400097,95,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
NY-AL,R,"Jacobs, Chris",J000020,456793,33,33,,,,,,,,,,,,,-,-,+,-,+,-,-,-,+
NY-01,R,"Zeldin, Lee",Z000017,412646,24,14,-,+,+,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-
NY-02,R,"King, Peter",K000210,400219,52,19,+,+,+,-,+,-,+,-,+,-,-,-,-,+,+,+,+,-,+,-,-
NY-03,D,"Suozzi, Thomas",S001201,412717,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-04,D,"Rice, Kathleen",R000602,412647,90,94,+,+,?,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-05,D,"Meeks, Gregory",M001137,400271,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-06,D,"Meng, Grace",M001188,412560,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-07,D,"Velazquez, Nydia",V000081,400416,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-08,D,"Jeffries, Hakeem",J000294,412561,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-09,D,"Clarke, Yvette",C001067,412221,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-10,D,"Nadler, Jerrold",N000002,400289,100,97,n/a,n/a,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-11,D,"Rose, Max",R000613,412803,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-12,D,"Maloney, Carolyn",M000087,400251,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-13,D,"Espaillat, Adriano",E000297,412718,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-14,D,"Ocasio-Cortez, Alexandria",O000172,412804,95,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+
NY-15,D,"Serrano, Jose",S000248,400366,86,93,?,?,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-16,D,"Engel, Eliot",E000179,400122,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-17,D,"Lowey, Nita",L000480,400246,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-18,D,"Maloney, Sean",M001185,412562,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-19,D,"Delgado, Antonio",D000630,412805,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-20,D,"Tonko, Paul",T000469,412319,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-21,R,"Stefanik, Elise",S001196,412648,48,38,-,+,+,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,+,-,+
NY-22,D,"Brindisi, Anthony",B001308,412806,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-23,R,"Reed, Tom",R000585,412393,48,13,+,+,+,-,?,-,-,-,+,+,-,-,-,+,+,-,+,-,+,-,+
NY-24,R,"Katko, John",K000386,412649,62,34,-,+,+,+,+,-,-,-,+,+,-,-,-,+,+,+,+,-,+,+,+
NY-25,D,"Morelle, Joe",M001206,412749,90,94,+,+,+,?,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NY-26,D,"Higgins, Brian",H001038,400641,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-01,R,"Gaetz, Matt",G000578,412690,10,12,-,-,+,?,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,+
FL-02,R,"Dunn, Neal",D000628,412691,5,4,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?,-,?,?
FL-03,R,"Yoho, Ted",Y000065,412525,0,2,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?,-,?,-
FL-04,R,"Rutherford, John",R000609,412692,14,9,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,?,+
FL-05,D,"Lawson, Al",L000586,412693,100,87,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-06,R,"Waltz, Michael",W000823,412764,14,26,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,+
FL-07,D,"Murphy, Stephanie",M001202,412694,95,91,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-08,R,"Posey, Bill",P000599,412309,19,6,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FL-09,D,"Soto, Darren",S001200,412695,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-10,D,"Demings, Val",D000627,412696,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-11,R,"Webster, Daniel",W000806,412410,10,6,-,?,?,?,?,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-
FL-12,R,"Bilirakis, Gus",B001257,412250,19,10,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+
FL-13,D,"Crist, Charlie",C001111,412697,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-14,D,"Castor, Kathy",C001066,412195,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-15,R,"Spano, Ross",S001210,412765,5,8,-,-,+,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,?,-,-
FL-16,R,"Buchanan, Vern",B001260,412196,33,23,?,?,+,-,-,-,-,-,-,+,-,?,-,+,+,-,+,-,+,-,+
FL-17,R,"Steube, Greg",S001214,412766,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,?
FL-18,R,"Mast, Brian",M001199,412698,29,29,+,+,+,-,-,?,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+
FL-19,R,"Rooney, Francis",R000607,412699,19,23,+,+,+,-,-,+,?,?,?,?,?,?,?,?,?,?,?,?,-,?,?
FL-20,D,"Hastings, Alcee",H000324,400170,100,85,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-21,D,"Frankel, Lois",F000462,412529,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-22,D,"Deutch, Ted",D000610,412385,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-23,D,"Wasserman Schultz, Debbie",W000797,400623,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-24,D,"Wilson, Frederica",W000808,412412,95,91,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-25,R,"Diaz-Balart, Mario",D000600,400108,29,13,-,-,+,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,?,-,+
FL-26,D,"Mucarsel-Powell, Debbie",M001207,412767,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FL-27,D,"Shalala, Donna",S001206,412768,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AL-01,R,"Byrne, Bradley",B001289,412601,0,0,-,-,-,?,?,?,-,-,-,-,-,?,?,?,?,?,?,?,-,?,?
AL-02,R,"Roby, Martha",R000591,412394,5,4,-,-,+,?,?,-,-,-,?,?,?,?,?,?,?,?,?,?,-,-,?
AL-03,R,"Rogers, Mike",R000575,400341,5,5,-,-,+,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-
AL-04,R,"Aderholt, Robert",A000055,400004,5,3,?,?,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?
AL-05,R,"Brooks, Mo",B001274,412395,0,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AL-06,R,"Palmer, Gary",P000609,412608,0,1,-,-,-,-,-,-,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-
AL-07,D,"Sewell, Terri",S001185,412396,90,81,+,+,+,?,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
HI-01,D,"Case, Ed",C001055,400069,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
HI-02,D,"Gabbard, Tulsi",G000571,412532,76,92,+,+,?,?,?,?,+,+,+,+,+,+,+,+,+,+,+,+,?,+,+
MO-01,D,"Clay, William Lacy",C001049,400074,95,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
MO-02,R,"Wagner, Ann",W000812,412548,24,4,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,?
MO-03,R,"Luetkemeyer, Blaine",L000569,412292,5,3,-,-,+,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-
MO-04,R,"Hartzler, Vicky",H001053,412444,10,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
MO-05,D,"Cleaver, Emanuel",C001061,400639,86,89,+,+,?,?,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MO-06,R,"Graves, Sam",G000546,400158,14,4,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-
MO-07,R,"Long, Billy",L000576,412445,10,3,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-
MO-08,R,"Smith, Jason",S001195,412596,5,1,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TN-01,R,"Roe, Phil",R000582,412310,14,4,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+
TN-02,R,"Burchett, Tim",B001309,412817,10,10,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-
TN-03,R,"Fleischmann, Chuck",F000459,412476,10,4,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-
TN-04,R,"DesJarlais, Scott",D000616,412477,10,2,-,-,+,-,-,-,?,-,-,-,-,-,-,+,-,-,-,-,-,-,?
TN-05,D,"Cooper, Jim",C000754,400081,100,83,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TN-06,R,"Rose, John",R000612,412818,10,6,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-
TN-07,R,"Green, Mark",G000590,412819,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,?,?,?,-,-,-
TN-08,R,"Kustoff, David",K000392,412724,10,4,-,-,+,-,?,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-
TN-09,D,"Cohen, Steve",C001068,412236,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
LA-01,R,"Scalise, Steve",S001176,412261,14,4,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+
LA-02,D,"Richmond, Cedric",R000588,412432,95,77,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+
LA-03,R,"Higgins, Clay",H001077,412705,10,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,+
LA-04,R,"Johnson, Mike",J000299,412706,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,?
LA-05,R,"Abraham, Ralph",A000374,412630,5,2,-,-,+,-,-,-,-,?,-,-,-,?,?,?,?,?,?,?,-,?,?
LA-06,R,"Graves, Garret",G000577,412631,5,5,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?
PA-01,R,"Fitzpatrick, Brian",F000466,412721,84,81,n/a,n/a,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,-,+,+,+
PA-02,D,"Boyle, Brendan",B001296,412652,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-03,D,"Evans, Dwight",E000296,412677,100,96,n/a,n/a,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-04,D,"Dean, Madeleine",D000631,412809,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-05,D,"Scanlon, Mary",S001205,412750,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-06,D,"Houlahan, Chrissy",H001085,412810,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-07,D,"Wild, Susan",W000826,412751,95,96,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-08,D,"Cartwright, Matt",C001090,412571,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-09,R,"Meuser, Daniel",M001204,412811,10,8,?,?,?,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,?,-,-
PA-10,R,"Perry, Scott",P000605,412569,5,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PA-11,R,"Smucker, Lloyd",S001199,412722,14,6,?,?,?,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+
PA-12,R,"Keller, Fred",K000395,412843,5,5,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PA-13,R,"Joyce, John",J000302,412812,10,6,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-
PA-14,R,"Reschenthaler, Guy",R000610,412813,14,10,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,?
PA-15,R,"Thompson, Glenn",T000467,412317,10,5,?,?,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-
PA-16,R,"Kelly, Mike",K000376,412465,19,5,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,?,-,-
PA-17,D,"Lamb, Conor",L000588,412744,95,88,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+
PA-18,D,"Doyle, Mike",D000482,400114,95,80,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
MI-01,R,"Bergman, Jack",B001301,412709,14,11,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+
MI-02,R,"Huizenga, Bill",H001058,412437,29,5,-,+,+,-,-,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-
MI-03,R,"Amash, Justin",A000367,412438,14,18,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+
MI-04,R,"Moolenaar, John",M001194,412634,19,7,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-
MI-05,D,"Kildee, Daniel",K000380,412546,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-06,R,"Upton, Fred",U000031,400414,62,28,+,+,+,-,-,+,-,-,+,+,-,-,+,+,+,-,+,-,+,+,+
MI-07,R,"Walberg, Tim",W000798,412213,5,4,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MI-08,D,"Slotkin, Elissa",S001208,412784,95,96,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+
MI-09,D,"Levin, Andy",L000592,412785,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-10,R,"Mitchell, Paul",M001201,412710,14,6,-,-,+,-,-,-,?,-,-,-,-,-,-,-,+,-,+,-,-,?,?
MI-11,D,"Stevens, Haley",S001215,412786,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-12,D,"Dingell, Debbie",D000624,412637,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MI-13,D,"Tlaib, Rashida",T000481,412787,95,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+
MI-14,D,"Lawrence, Brenda",L000581,412638,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NV-01,D,"Titus, Dina",T000468,412318,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NV-02,R,"Amodei, Mark",A000369,412500,24,7,-,-,+,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,?,-,-
NV-03,D,"Lee, Susie",L000590,412802,95,96,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+
NV-04,D,"Horsford, Steven",H001066,412559,100,84,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-01,D,"Norcross, Donald",N000188,412606,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-02,R,"Van Drew, Jefferson",V000133,412796,67,82,+,+,+,+,+,+,-,-,+,+,+,-,+,+,+,-,+,-,+,-,?
NJ-03,D,"Kim, Andy",K000394,412797,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-04,R,"Smith, Christopher",S000522,400380,81,62,+,+,+,+,+,+,-,-,+,+,+,-,+,+,+,+,+,-,+,+,+
NJ-05,D,"Gottheimer, Josh",G000583,412714,100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-06,D,"Pallone, Frank",P000034,400308,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-07,D,"Malinowski, Tom",M001203,412798,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-08,D,"Sires, Albio",S001165,412186,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
