Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
State,Party,"Member of Congress",BioID,GovtrackID,"2020 Score","Lifetime Score","USMCA Trade Deal (14)","Brasher Confirmation (Eleventh Circuit Court of Appeals) (36)","Kindred Confirmation (U.S. District Court for the District of Alaska) (41)","MacGregor Confirmation (Interior Deputy Secretary)  (60)","Danly Confirmation (Federal Energy Regulatory Commission) (72)","Defeating Effort to Derail the Great American Outdoors Act (118)","Great American Outdoors Act (121)","Walker Confirmation (D.C. Circuit Court of Appeals) (123)","Wilson Confirmation (Fifth Circuit Court of Appeals) (125)","Inadequate Policing Reform  (126)","Inadequate COVID Relief Package (168)","Barrett Cloture Vote (Supreme Court) (222)","Barrett Confirmation (Supreme Court) (224)"
MT,D,"Tester, Jon",T000464,412244,92,88,-,+,+,+,+,+,+,+,+,+,+,+,+
AK,R,"Sullivan, Dan",S001198,412665,8,8,-,-,-,-,-,-,+,?,-,-,-,-,-
AK,R,"Murkowski, Lisa",M001153,300075,15,18,-,-,-,-,-,-,+,-,-,-,-,+,-
CO,D,"Bennet, Michael",B001267,412330,77,88,-,?,?,+,+,+,+,+,+,+,+,+,+
CO,R,"Gardner, Cory",G000562,412406,15,11,-,-,-,-,-,+,+,-,-,-,-,-,-
ND,R,"Hoeven, John",H001061,412494,15,9,-,-,-,-,-,+,+,-,-,-,-,-,-
ND,R,"Cramer, Kevin",C001096,412555,15,3,-,-,-,-,-,+,+,-,-,-,-,-,-
IL,D,"Durbin, Dick",D000563,300038,92,88,-,+,+,+,+,+,+,+,+,+,+,+,+
IL,D,"Duckworth, Tammy",D000622,412533,92,90,-,+,+,+,+,+,+,+,+,+,+,+,+
NM,D,"Udall, Tom",U000039,400413,92,96,-,+,+,+,+,+,+,+,+,+,+,+,+
NM,D,"Heinrich, Martin",H001046,412281,85,93,-,+,+,-,+,+,+,+,+,+,+,+,+
UT,R,"Romney, Mitt",R000615,412841,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-
UT,R,"Lee, Mike",L000577,412495,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-
OR,D,"Wyden, Ron",W000779,300100,92,91,-,+,+,+,+,+,+,+,+,+,+,+,+
OR,D,"Merkley, Jeff",M001176,412325,92,99,-,+,+,+,+,+,+,+,+,+,+,+,+
CT,D,"Murphy, Chris",M001169,412194,85,96,-,+,+,-,+,+,+,+,+,+,+,+,+
CT,D,"Blumenthal, Richard",B001277,412490,92,97,-,+,+,+,+,+,+,+,+,+,+,+,+
AR,R,"Cotton, Tom",C001095,412508,15,4,-,-,-,-,-,+,+,-,-,-,-,-,-
AR,R,"Boozman, John",B001236,400040,15,8,-,-,-,-,-,+,+,-,-,-,-,-,-
OK,R,"Inhofe, James",I000024,300055,0,5,?,-,-,-,-,-,-,-,-,-,-,-,-
OK,R,"Lankford, James",L000575,412464,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-
IA,R,"Ernst, Joni",E000295,412667,8,4,-,-,-,-,-,-,+,-,-,-,-,-,-
IA,R,"Grassley, Chuck",G000386,300048,8,18,-,-,-,-,-,-,+,-,-,-,-,-,-
MA,D,"Markey, Ed",M000133,400253,77,94,+,+,+,+,+,?,?,?,+,+,+,+,+
MA,D,"Warren, Elizabeth",W000817,412542,62,93,-,?,?,?,?,+,+,+,+,+,+,+,+
IN,R,"Young, Todd",Y000064,412428,15,5,-,-,-,-,-,+,+,-,-,-,-,-,-
IN,R,"Braun, Mike",B001310,412839,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-
NC,R,"Burr, Richard",B001135,400054,15,9,-,-,-,-,-,+,+,-,-,-,-,-,-
NC,R,"Tillis, Thom",T000476,412668,15,10,-,-,-,-,-,+,+,-,-,-,-,-,-
VA,D,"Kaine, Timothy",K000384,412582,92,95,-,+,+,+,+,+,+,+,+,+,+,+,+
VA,D,"Warner, Mark",W000805,412321,92,88,-,+,+,+,+,+,+,+,+,+,+,+,+
WA,D,"Cantwell, Maria",C000127,300018,92,93,-,+,+,+,n/a,+,+,+,+,+,+,+,+
WA,D,"Murray, Patty",M001111,300076,91,91,-,+,+,+,+,+,n/a,n/a,+,+,+,+,+
WV,R,"Capito, Shelley Moore",C001047,400061,15,17,-,-,-,-,-,+,+,-,-,-,-,-,-
WV,D,"Manchin III, Joe",M001183,412391,54,49,-,+,-,-,-,+,+,?,+,-,+,+,+
DE,D,"Carper, Tom",C000174,300019,92,84,-,+,+,+,+,+,+,+,+,+,+,+,+
DE,D,"Coons, Chris",C001088,412390,92,94,-,+,+,+,+,+,+,+,+,+,+,+,+
KY,R,"Paul, Rand",P000603,412492,8,8,-,-,-,-,-,-,-,-,-,-,+,-,-
KY,R,"McConnell, Mitch",M000355,300072,23,8,-,-,-,-,-,+,+,-,-,+,-,-,-
RI,D,"Reed, Jack",R000122,300081,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+
RI,D,"Whitehouse, Sheldon",W000802,412247,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+
SC,R,"Graham, Lindsey",G000359,300047,15,13,-,?,-,-,-,+,+,-,-,-,-,-,-
SC,R,"Scott, Tim",S001184,412471,8,4,-,-,-,-,-,-,+,-,-,-,-,-,-
MS,R,"Hyde-Smith, Cindy",H001079,412743,8,15,-,-,-,-,-,+,-,-,-,-,-,-,-
MS,R,"Wicker, Roger",W000437,400432,15,6,-,-,-,-,-,+,+,-,-,-,-,-,-
ME,R,"Collins, Susan",C001035,300025,46,60,-,-,-,-,-,+,+,+,+,-,-,+,+
ME,I,"King, Angus",K000383,412545,77,89,-,+,+,-,+,+,+,+,+,-,+,+,+
ID,R,"Risch, Jim",R000584,412322,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-
ID,R,"Crapo, Michael",C000880,300030,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-
NE,R,"Sasse, Benjamin",S001197,412671,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-
NE,R,"Fischer, Deb",F000463,412556,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-
KS,R,"Moran, Jerry",M000934,400284,0,8,-,-,-,-,?,-,-,-,-,-,-,-,-
KS,R,"Roberts, Pat",R000307,300083,15,9,-,-,-,-,-,+,+,-,-,-,-,-,-
SD,R,"Rounds, Mike",R000605,412669,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-
SD,R,"Thune, John",T000250,400546,8,10,-,-,-,-,-,-,+,-,-,-,-,-,-
VT,D,"Leahy, Patrick",L000174,300065,92,94,-,+,+,+,+,+,+,+,+,+,+,+,+
VT,I,"Sanders, Bernie",S000033,400357,62,90,+,?,?,?,?,+,+,?,+,+,+,+,+
