Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
State,Party,"Member of Congress","2019 Score","Lifetime Score","Stopping Border Wall Funding (10)","Diverting Land & Water Conservation Fund Money (18)","Blocking Permanent Land & Water Conservation Fund Reauthorization (19)","Blocking Permanent Reauthorization of the Land & Water Conservation Fund (19)","Undermining the Antiquities Act (20)","Public Lands Package (22)","Miller Confirmation (Ninth Circuit Court of Appeals) (29)","Wheeler Confirmation (EPA Administrator) (33)","Rao Confirmation (D.C. Circuit Court of Appeals) (44)","Wyrick Confirmation (U.S. District Court for the Western District of Oklahoma) (68)","Wyrick Confirmation (District Court for Western District of Oklahoma) (68)","Bernhardt Confirmation (Interior Secretary) (77)","Ending Harmful Limits on Government Funding (262)","Jorjani Confirmation (DOI Solicitor) (300)","Scalia Confirmation (Secretary of Labor) (313)","Stopping Rollbacks of Carbon Pollution Limits for Power Plants (324)","Stopping the Dirty Power Scam (324)","Undermining the Land and Water Conservation Fund (339)","Menashi Confirmation (Second Circuit Court of Appeals) (356)","VanDyke Confirmation (Ninth Circuit Court of Appeals) (391)","VanDyke confirmation (Ninth Circuit Court of Appeals) (391)"
AZ,R,"McSally, Martha",14,7,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
WY,R,"Enzi, Michael",7,5,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WY,R,"Barrasso, John",7,8,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
GA,R,"Perdue, David",14,3,-,-,-,-,-,+,-,-,-,-,-,?,+,-,-,-,-,+,-,-,-
GA,R,"Isakson, Johnny",29,10,+,+,+,+,+,+,-,-,-,-,-,-,?,-,-,?,?,?,-,-,-
MD,D,"Van Hollen, Chris",100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD,D,"Cardin, Benjamin",100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX,R,"Cornyn, John",7,5,-,-,-,-,?,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
TX,R,"Cruz, Ted",0,4,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MT,D,"Tester, Jon",100,88,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+
MT,R,"Daines, Steve",29,6,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-
AK,R,"Murkowski, Lisa",36,18,+,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
AK,R,"Sullivan, Dan",14,8,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
CO,R,"Gardner, Cory",36,11,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-
CO,D,"Bennet, Michael",86,89,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,?,?,?,?
ND,R,"Cramer, Kevin",14,2,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
ND,R,"Hoeven, John",14,8,-,-,-,-,?,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
IL,D,"Duckworth, Tammy",100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL,D,"Durbin, Dick",100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NM,D,"Heinrich, Martin",93,94,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+
NM,D,"Udall, Tom",100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
UT,R,"Romney, Mitt",14,14,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UT,R,"Lee, Mike",0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OR,D,"Wyden, Ron",100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OR,D,"Merkley, Jeff",100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT,D,"Murphy, Chris",100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT,D,"Blumenthal, Richard",100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AR,R,"Boozman, John",21,7,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
AR,R,"Cotton, Tom",14,3,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-
OK,R,"Lankford, James",0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OK,R,"Inhofe, James",0,5,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
IA,R,"Ernst, Joni",14,3,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
IA,R,"Grassley, Chuck",7,18,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
MA,D,"Warren, Elizabeth",79,96,+,+,+,+,+,+,+,+,+,+,+,+,?,+,?,+,+,?,?,?,?
MA,D,"Markey, Ed",100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IN,R,"Young, Todd",29,5,-,-,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
IN,R,"Braun, Mike",7,7,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC,R,"Burr, Richard",29,9,?,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
NC,R,"Tillis, Thom",21,9,-,+,+,+,+,+,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-
VA,D,"Warner, Mark",100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
VA,D,"Kaine, Timothy",100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA,D,"Cantwell, Maria",100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WA,D,"Murray, Patty",93,91,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+
WV,D,"Manchin III, Joe",86,49,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+
WV,R,"Capito, Shelley Moore",29,17,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
DE,D,"Carper, Tom",100,84,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+
DE,D,"Coons, Chris",100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
KY,R,"Paul, Rand",0,8,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,?
KY,R,"McConnell, Mitch",14,7,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
RI,D,"Reed, Jack",100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
RI,D,"Whitehouse, Sheldon",86,97,+,+,-,-,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+
SC,R,"Scott, Tim",14,4,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-
SC,R,"Graham, Lindsey",29,13,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
MS,R,"Hyde-Smith, Cindy",29,19,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
MS,R,"Wicker, Roger",7,5,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
ME,I,"King, Angus",93,91,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+
ME,R,"Collins, Susan",64,61,+,+,+,+,+,+,-,+,-,-,-,-,+,+,-,+,+,+,+,+,+
ID,R,"Risch, Jim",7,7,?,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ID,R,"Crapo, Michael",7,6,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
NE,R,"Fischer, Deb",7,6,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NE,R,"Sasse, Benjamin",0,2,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KS,R,"Roberts, Pat",29,9,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-
KS,R,"Moran, Jerry",14,8,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
SD,R,"Thune, John",14,11,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-
SD,R,"Rounds, Mike",21,6,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,?,-,-
VT,I,"Sanders, Bernie",69,91,+,+,+,+,+,+,+,+,+,+,+,+,?,,?,?,?,?,?,?,?
VT,D,"Leahy, Patrick",100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
